305,4
244,66
187,206
291,0
61,291
329,348
336,38
320,267
88,3
265,243
73,135
123,113
317,51
23,333
271,44
362,311
391,246
71,130
405,344
185,280
271,379
256,42
197,162
115,114
140,138
62,412
336,86
139,270
188,46
208,390
391,273
416,293
188,418
284,43
151,122
247,405
179,181
276,123
2,180
97,105
317,217
197,394
374,196
248,360
398,312
91,70
65,295
262,361
57,70
71,267
255,273
362,29
367,95
378,138
24,375
234,119
318,28
384,321
303,179
2,113
323,44
311,181
263,360
41,18
350,131
40,376
208,31
130,328
85,26
71,378
400,110
357,205
165,387
226,74
380,137
327,183
324,302
6,140
36,249
203,214
80,77
379,79
214,204
409,225
4,384
287,344
68,90
296,305
25,298
262,325
167,375
78,168
273,329
190,121
36,86
403,82
86,412
40,392
302,331
377,324
20,372
210,251
403,180
180,51
171,353
192,419
79,411
15,5
34,29
224,344
217,10
111,59
352,248
278,171
132,370
272,376
397,66
86,40
317,297
303,309
84,324
333,417
268,281
14,270
349,128
42,50
266,154
273,43
297,97
89,169
129,207
251,364
7,299
356,381
327,209
390,364
125,335
156,388
131,196
275,273
141,357
11,56
35,62
145,300
11,155
358,313
60,36
285,187
393,206
172,295
251,201
196,22
254,31
275,406
234,306
384,234
381,12
138,303
191,38
329,90
280,79
318,36
1,68
113,253
202,156
311,402
69,181
280,232
9,284
175,248
226,44
321,370
232,417
262,218
299,241
244,261
138,113
326,414
68,102
210,14
244,25
245,190
72,376
409,338
296,158
170,44
95,289
385,1
372,328
246,203
393,283
180,14
335,343
92,103
153,226
283,268
90,45
223,272
67,79
9,121
